Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G035.2162+00.4280,035.21622,+00.42803,283.52036,+02.22814,00.32,00.42,00002.55,00000.45,00012.02,00002.56,03.258,00.417,02.9,03.650,00.685,02.909,00.505,14.476,30.529,00.38,-0.007,0008.8,G,0,0,0,0,0,0,0,0,0
G035.4719-00.4365,035.47194,-00.43652,284.40690,+02.06113,00.15,00.15,00065.96,00005.87,00207.07,00019.59,02.806,00.005,02.4,,,,,,,00.30,-0.007,0220.3,P,0,0,0,0,0,0,0,0,0
G035.5654-00.4922,035.56544,-00.49222,284.49859,+02.11854,00.40,00.38,00006.16,00000.57,00059.25,00007.00,06.237,00.028,06.1,,,,,,,00.33,-0.011,0018.0,P,0,0,0,0,1,0,0,0,0
G036.0116-00.2562,036.01164,-00.25619,284.49303,+02.62367,00.10,00.10,00014.84,00001.35,00018.18,00001.70,01.660,00.031,,01.711,00.046,01.611,00.043,116.555,11.651,00.24,-0.000,0061.1,G,0,1,0,0,0,0,0,0,0
G036.5393+00.2003,036.53926,+00.20031,284.32712,+03.30172,01.47,01.45,00002.82,00000.33,00013.40,00002.55,03.506,00.064,03.2,,,,,,,00.33,-0.009,0007.7,P,0,0,0,0,0,0,0,0,0
G037.9031-00.2754,037.90313,-00.27535,285.37635,+04.29719,00.10,00.10,00027.22,00002.45,00032.54,00002.99,01.640,00.029,,01.688,00.042,01.593,00.039,34.326,09.791,00.37,-0.024,0072.2,G,0,0,0,0,0,0,0,0,0
G037.9601+00.4534,037.96014,+00.45343,284.75237,+04.68113,00.10,00.10,00019.87,00001.80,00022.68,00002.11,01.603,00.029,,01.650,00.043,01.557,00.040,24.139,11.348,00.32,-0.006,0060.8,G,0,0,0,0,0,0,0,0,0
G038.9237-00.0807,038.92365,-00.08071,285.67159,+05.29358,00.43,00.35,00002.31,00000.40,00012.44,00002.52,03.484,00.431,03.1,04.015,00.733,03.023,00.505,63.800,23.384,00.36,-0.008,0007.2,G,0,0,0,0,0,0,0,0,0
G039.1617+00.7826,039.16169,+00.78265,285.00967,+05.90028,00.11,00.11,00013.62,00001.27,00028.29,00002.75,02.161,00.053,01.6,02.328,00.083,02.007,00.067,82.044,07.272,00.35,-0.009,0039.6,G,0,0,0,0,0,0,0,0,0
G039.5911-00.3785,039.59110,-00.37850,286.24491,+05.75019,00.18,00.18,00003.29,00000.50,00004.34,00000.99,01.722,00.172,,01.977,00.309,01.500,00.186,47.211,17.698,00.39,0.003,0007.4,G,0,0,0,0,0,0,0,0,0
